"","id","min_rle","max_rle","count_rle","perc_missing"
"1",470558,4,8,32,55
"2",470596,4,17,31,57
"3",470600,4,19,31,61
"4",470613,4,20,31,60
"5",470632,4,19,30,58
"6",470665,4,20,30,60
"7",470666,4,9,32,58
"8",470671,4,18,31,62
"9",470672,4,10,32,58
"10",470680,4,18,31,62
"11",470705,4,18,31,58
"12",470706,4,19,31,59
"13",470725,4,20,30,61
"14",470726,4,20,30,61
"15",470736,4,20,30,65
"16",470743,4,18,31,59
"17",470750,4,20,31,63
"18",470751,4,22,29,66
"19",470762,4,11,32,61
"20",470768,4,10,32,57
"21",470770,4,18,31,58
"22",470773,4,20,30,64
"23",470776,4,20,31,58
"24",470780,4,20,30,61
"25",470786,4,8,32,49
"26",470794,4,9,32,49
"27",470797,4,20,31,58
"28",470812,4,18,31,52
"29",470815,4,19,31,56
"30",470821,3,7,32,47
"31",470826,4,19,30,62
"32",470828,4,7,32,46
"33",470830,4,20,29,62
"34",470833,4,18,31,62
"35",470847,4,19,30,59
"36",470850,4,20,31,64
"37",470855,4,8,32,47
"38",470856,3,7,32,44
"39",470866,4,21,29,65
"40",470869,4,8,32,48
"41",470875,4,9,32,49
"42",470876,4,7,32,49
"43",470877,4,17,30,56
"44",470883,4,8,32,50
"45",470885,4,9,32,50
"46",470888,4,18,31,53
"47",470897,4,8,32,49
"48",470899,4,7,32,49
"49",470900,4,6,32,46
"50",470906,3,8,32,47
"51",470908,4,10,32,62
"52",470916,4,19,30,64
"53",470918,4,17,31,56
"54",470922,4,10,32,61
"55",470923,3,7,32,46
"56",470927,4,20,29,65
"57",470932,4,9,32,49
"58",470937,4,7,32,51
"59",470940,4,8,32,48
"60",470941,4,7,32,50
"61",470942,4,18,31,61
"62",470943,4,32,29,65
"63",470946,3,6,32,45
"64",470949,4,18,31,55
"65",470950,4,7,32,48
"66",470951,4,7,32,49
"67",470953,4,7,32,51
"68",470955,4,8,32,49
"69",470957,4,7,32,51
"70",470958,3,7,32,45
"71",470961,4,16,31,52
"72",470962,4,8,32,52
"73",470964,4,18,31,52
"74",470965,4,18,31,54
"75",470967,4,9,32,53
"76",470969,4,8,32,51
"77",470971,4,7,32,50
"78",470973,4,7,32,48
"79",470974,4,8,32,49
"80",470980,3,10,32,52
"81",470982,4,8,32,48
"82",470983,4,7,32,52
"83",470984,3,9,32,54
"84",470993,4,7,32,47
"85",470996,4,7,32,49
"86",471001,4,18,31,55
"87",471002,3,7,32,45
"88",471004,3,16,31,54
"89",471006,4,18,31,57
"90",471008,4,9,32,48
"91",471010,3,18,31,59
"92",471013,4,8,32,51
"93",471017,4,10,32,54
"94",471018,4,20,30,55
"95",471022,4,9,32,48
"96",471023,4,7,32,51
"97",471024,4,7,32,52
"98",471027,4,7,32,51
"99",471033,3,9,32,53
"100",471035,4,7,32,50
"101",471037,4,8,32,49
