"","id","min_rle","max_rle","count_rle","perc_missing"
"102",471039,4,8,32,51
"103",471041,4,7,32,49
"104",471044,4,7,32,49
"105",471046,4,8,32,51
"106",471048,4,7,32,49
"107",471049,1,18,32,60
"108",471051,4,18,30,62
"109",471052,1,18,32,62
"110",471053,4,9,32,53
"111",471057,4,7,32,52
"112",471060,1,20,32,62
"113",471063,4,18,30,52
"114",471069,4,9,32,53
"115",471070,4,9,32,52
"116",471071,1,20,31,64
"117",471072,4,8,32,51
"118",471080,1,21,32,64
"119",471081,4,7,32,50
"120",471082,4,9,32,51
"121",471086,4,9,32,54
"122",471087,4,9,32,52
"123",471094,4,8,32,51
"124",471095,4,18,31,66
"125",471096,1,21,32,63
"126",471098,4,9,32,52
"127",471099,4,7,32,49
"128",471100,4,8,32,52
"129",471103,4,9,32,54
"130",471105,4,22,30,56
"131",471107,4,8,32,51
"132",471108,4,9,32,52
"133",471110,4,9,32,51
"134",471113,4,9,32,52
"135",471114,4,7,32,51
"136",471115,4,9,32,55
"137",471117,4,7,32,50
"138",471118,4,9,32,53
"139",471120,4,9,32,53
"140",471121,4,9,32,53
"141",471123,4,22,31,60
"142",471124,4,7,32,51
"143",471126,4,30,29,65
"144",471128,4,8,32,50
"145",471129,1,21,32,64
"146",471132,4,9,32,52
"147",471137,4,19,31,61
"148",471138,4,7,32,50
"149",471140,4,18,31,56
"150",471142,4,7,32,51
"151",471148,3,7,32,43
"152",471150,4,18,31,54
"153",471151,4,9,32,54
"154",471153,4,9,32,54
"155",471156,4,31,29,64
"156",471157,4,8,32,51
"157",471159,4,7,32,50
"158",471161,4,8,32,51
"159",471162,4,30,29,67
"160",471169,4,10,32,53
"161",471170,4,7,32,51
"162",471177,4,7,32,48
"163",471181,4,21,30,64
"164",471182,3,7,32,45
"165",471183,4,22,30,64
"166",471187,4,18,30,62
"167",471188,4,8,32,51
"168",471190,4,21,30,64
"169",471191,3,7,32,48
"170",471193,4,9,32,50
"171",471194,4,18,31,58
"172",471196,4,9,32,53
"173",471198,4,10,32,56
"174",471199,4,19,30,60
"175",471201,4,9,32,52
"176",471205,4,10,32,55
"177",471209,4,8,32,52
"178",471217,4,9,32,54
"179",471220,4,21,29,61
"180",471221,4,21,30,63
"181",471223,4,8,32,51
"182",471225,4,29,29,64
"183",471229,4,7,32,55
"184",471230,1,31,29,66
"185",471231,4,8,32,51
"186",471235,3,30,28,66
"187",471239,3,21,28,61
"188",471241,4,9,32,55
"189",471247,3,22,30,65
"190",471248,4,7,32,51
"191",471251,4,31,28,65
"192",471252,4,30,29,66
"193",471254,4,9,32,55
"194",471256,4,7,32,51
"195",471257,3,29,27,63
"196",471258,4,31,28,67
"197",471261,4,7,32,52
"198",471263,4,18,31,52
"199",471264,3,33,27,66
"200",471266,3,20,29,61
"201",471267,4,32,27,68
"202",471270,4,31,28,67
"203",471273,4,10,32,57
"204",471274,4,10,32,61
"205",471275,3,33,29,68
"206",471281,4,9,32,54
"207",471282,1,23,31,59
"208",471283,3,30,29,65
"209",471284,4,31,28,66
"210",471285,4,23,29,66
"211",471286,4,17,31,59
"212",471288,4,31,29,64
"213",471289,3,31,29,62
"214",471291,4,20,30,66
"215",471296,3,30,29,65
"216",471297,4,30,29,66
"217",471299,4,18,29,60
"218",471301,4,31,30,66
"219",471302,4,31,28,65
"220",471305,3,31,29,57
"221",471306,4,8,32,53
"222",471308,3,31,30,62
"223",471310,4,23,30,63
"224",471311,4,31,26,69
"225",471312,4,31,29,65
"226",471313,4,19,29,65
"227",471318,4,31,28,68
"228",471320,4,29,30,59
"229",471321,4,23,30,66
"230",471328,4,22,30,64
"231",471330,3,30,30,55
"232",471331,1,29,29,65
"233",471336,4,22,31,62
"234",471342,4,41,27,68
"235",471344,3,23,31,62
"236",471345,4,31,28,66
"237",471348,4,31,27,66
"238",471350,4,42,26,68
"239",471352,4,22,30,62
"240",471357,4,31,28,67
"241",471358,4,31,28,66
"242",471359,4,18,31,55
"243",471361,4,31,27,67
"244",471366,4,21,31,52
"245",471369,3,6,32,47
"246",471371,3,7,32,48
"247",471372,3,30,30,51
"248",471373,4,9,32,51
"249",471379,4,22,31,56
"250",471380,3,7,32,46
"251",471383,3,7,32,47
"252",471384,4,21,29,67
"253",471388,3,8,32,48
"254",471389,3,8,32,49
"255",471390,3,9,32,49
"256",471392,3,7,32,48
"257",471393,4,9,32,49
"258",471396,4,9,32,51
"259",471397,3,21,31,52
"260",471404,3,9,32,49
"261",471405,4,8,32,49
"262",471407,4,8,32,49
"263",471409,4,20,29,65
"264",471410,3,9,32,48
"265",471412,3,7,32,46
"266",471413,3,8,32,46
"267",471414,3,8,32,49
"268",471415,3,9,32,49
"269",471418,3,20,31,53
"270",471420,4,18,31,53
"271",471423,4,7,32,49
"272",471427,4,18,31,53
"273",471429,3,8,32,49
"274",471430,3,7,32,45
"275",471431,3,8,32,49
"276",471433,4,7,32,49
"277",471436,4,7,32,47
"278",471438,4,41,26,65
"279",471443,4,7,32,52
"280",471445,4,7,32,52
"281",471446,3,8,32,47
"282",471450,3,8,32,48
"283",471452,4,7,32,51
"284",471453,4,40,29,61
"285",471455,4,31,28,67
"286",471457,3,7,32,48
"287",471461,3,8,32,48
"288",471462,3,9,32,49
"289",471463,4,7,32,49
"290",471470,3,7,32,48
"291",471475,3,7,32,49
"292",471476,4,8,32,51
"293",471477,3,8,32,49
"294",471479,4,9,32,53
"295",471482,4,9,32,53
"296",471483,4,18,30,54
"297",471484,4,7,32,51
"298",471486,3,8,32,49
"299",471488,4,31,30,66
"300",471495,4,7,32,48
"301",471498,4,9,32,53
"302",471501,4,9,32,52
"303",471502,4,8,32,53
"304",471503,4,8,32,53
"305",471504,3,9,32,51
"306",471511,4,8,32,51
"307",471515,4,9,32,52
"308",471518,4,8,32,52
"309",471525,4,8,32,53
"310",471527,4,8,32,53
"311",471528,3,8,32,48
"312",471530,3,8,32,48
"313",471533,3,8,32,47
"314",471534,3,8,32,48
"315",471569,3,22,30,58
"316",471571,3,19,31,58
"317",471582,3,18,31,58
"318",471583,3,22,30,59
"319",471585,3,21,30,59
"320",471587,4,9,32,52
"321",471589,3,22,30,63
"322",471590,4,23,30,61
"323",471598,3,22,30,56
"324",471602,1,20,33,65
"325",471610,1,32,31,66
"326",471615,1,20,32,64
"327",471618,1,21,31,66
"328",471620,1,18,31,66
"329",471621,1,22,31,67
"330",471622,1,21,31,65
"331",472491,4,7,32,50
"332",472500,4,19,30,61
"333",472501,4,20,30,61
"334",472505,4,18,30,60
"335",472506,4,18,30,62
"336",472509,4,20,31,61
"337",472511,3,19,31,54
"338",472513,4,18,30,59
"339",472514,4,6,32,47
"340",472515,4,19,30,60
"341",472516,4,7,32,46
"342",472517,4,9,32,53
"343",472519,4,7,32,47
"344",472521,4,6,32,46
"345",472525,4,18,30,63
"346",472526,4,9,32,58
"347",472527,3,7,32,47
"348",472528,4,18,31,58
"349",472530,3,7,32,47
"350",472531,4,8,32,47
"351",472533,4,8,32,50
"352",472534,4,7,32,49
"353",472536,4,7,32,50
"354",472537,3,7,32,48
"355",472538,4,7,32,51
"356",472539,4,7,32,49
"357",472541,4,7,32,50
"358",472543,4,7,32,48
"359",472544,4,7,32,49
"360",472546,4,7,32,50
"361",472548,4,8,32,51
"362",472549,4,8,32,51
"363",472550,4,8,32,51
"364",472551,4,7,32,50
"365",472552,4,19,31,56
"366",472554,4,19,31,57
"367",472555,4,19,31,57
"368",472557,4,8,32,48
"369",472558,4,9,32,53
"370",472559,3,22,30,64
"371",472563,4,22,30,65
"372",472564,3,31,29,65
"373",472566,4,8,32,52
"374",472568,4,23,30,60
"375",472569,4,9,32,52
"376",472570,4,23,31,64
"377",472572,3,31,30,61
"378",472574,4,7,32,49
"379",472575,3,31,30,54
"380",472576,4,9,32,53
"381",472577,3,8,32,48
"382",472579,4,18,31,53
"383",472580,4,9,32,53
"384",472582,3,8,32,47
"385",472583,4,19,31,64
"386",472584,4,41,27,66
"387",472585,4,18,31,55
"388",472586,4,41,28,67
"389",472587,3,7,32,48
"390",472588,4,41,27,67
"391",472590,3,8,32,45
"392",472592,4,7,32,48
"393",472593,4,7,32,47
"394",472594,4,7,32,50
"395",472598,4,8,32,48
"396",472599,4,8,32,51
"397",472600,3,7,32,48
"398",472604,3,8,32,50
"399",472605,3,9,32,52
"400",472606,3,8,32,51
"401",472608,1,22,31,66
"402",472609,3,22,30,62
"403",472610,1,17,32,63
"404",472611,1,20,31,62
"405",472612,1,18,32,61
"406",472616,1,21,31,63
"407",566496,4,18,31,57
"408",566503,4,18,31,58
"409",566507,4,18,31,60
"410",566542,2,19,32,56
"411",566693,4,20,29,62
"412",566710,1,20,31,63
"413",566722,1,20,31,63
"414",566771,2,8,33,49
"415",566788,2,7,32,48
"416",566796,2,6,32,46
"417",566801,3,8,32,43
"418",566804,3,7,32,49
"419",566814,3,6,32,45
"420",566822,3,6,32,45
"421",566824,2,7,32,46
"422",566828,4,6,32,46
"423",566832,2,7,33,46
"424",566835,3,6,32,45
"425",566840,2,8,32,47
"426",566842,3,6,32,45
"427",566844,3,6,32,46
"428",566845,3,6,32,44
"429",566846,3,6,32,44
"430",566848,1,6,33,46
"431",566885,2,6,32,45
"432",566891,1,7,33,48
"433",566917,2,9,33,54
"434",566922,2,7,32,46
"435",566925,2,17,31,49
"436",566939,2,10,33,58
"437",566961,2,10,32,54
"438",566983,4,9,32,56
"439",566993,4,9,32,58
"440",567007,4,9,32,59
"441",567015,3,17,32,58
"442",567030,4,17,31,59
"443",567043,4,8,32,56
"444",567051,1,18,32,55
"445",567061,4,18,31,60
"446",567074,2,8,33,46
"447",567083,3,7,32,44
"448",567087,3,8,32,45
"449",567097,1,7,33,44
"450",567103,1,6,33,45
"451",567119,1,8,33,48
"452",567124,1,6,33,45
"453",567129,1,7,33,45
"454",567130,1,8,33,46
"455",567135,1,7,33,44
"456",567137,3,7,32,45
"457",567152,2,8,33,47
"458",567158,2,7,33,46
"459",567201,1,8,33,48
"460",567225,3,7,32,43
"461",567236,2,30,30,60
"462",567239,1,16,32,48
"463",567250,1,19,32,56
"464",567264,2,19,32,57
"465",567266,1,32,31,56
"466",567278,3,19,32,58
"467",567305,2,20,31,56
"468",567314,2,19,31,57
"469",567315,1,20,31,57
"470",567320,2,19,31,55
"471",567341,2,32,31,59
"472",567344,2,19,32,56
"473",567369,1,32,31,57
"474",567378,1,19,32,55
"475",567390,2,32,31,60
"476",567394,1,19,32,55
"477",567399,1,32,31,58
"478",567404,1,31,31,57
"479",567414,2,7,33,50
"480",567424,3,7,32,43
"481",567433,3,7,32,43
"482",567436,2,7,33,51
"483",567437,2,7,33,49
"484",567445,3,6,32,42
"485",567452,3,6,32,42
"486",567462,3,6,32,44
"487",567463,3,7,32,41
"488",567481,1,5,33,39
"489",567487,2,9,33,52
"490",567499,3,6,32,45
"491",567502,3,7,32,46
"492",567504,3,6,32,43
"493",567509,3,7,32,45
"494",567530,3,6,32,42
"495",567565,3,7,32,44
"496",567573,3,8,32,46
"497",567579,3,7,32,44
"498",567581,3,6,32,42
"499",567602,1,8,33,45
"500",567617,3,6,32,41
"501",567619,3,7,32,42
"502",567620,3,6,32,41
"503",568988,1,7,31,44
"504",569102,1,7,32,44
"505",569634,3,22,30,62
"506",569804,1,8,32,46
"507",569810,1,7,28,42
"508",569820,1,10,28,41
"509",569954,2,8,32,46
"510",570009,2,8,32,43
"511",570461,1,7,25,42
"512",570462,2,20,28,57
"513",570509,1,19,27,55
"514",570510,3,19,31,52
"515",570544,1,19,25,47
"516",570572,1,6,30,43
"517",570618,1,6,26,40
"518",570715,1,21,27,53
"519",570716,2,7,32,45
"520",570748,3,18,31,50
"521",570841,2,7,33,45
"522",571066,3,16,31,48
"523",571103,2,8,29,45
"524",571109,1,19,31,55
"525",571114,1,10,27,44
"526",571133,1,18,34,54
"527",571145,2,19,31,58
"528",571181,1,18,30,56
"529",571192,3,28,30,62
"530",571246,4,18,31,55
"531",571248,3,7,32,45
"532",571294,3,8,32,46
"533",571315,3,7,32,45
"534",571349,1,6,23,37
"535",571354,2,7,26,43
"536",571364,3,7,32,44
"537",571380,2,6,31,42
"538",571384,1,7,25,39
"539",571390,1,5,25,37
"540",571407,4,21,29,61
"541",571430,1,7,18,36
"542",571461,2,6,29,43
"543",571464,3,19,31,59
"544",571466,3,8,32,54
"545",571471,1,9,33,53
"546",571481,3,19,31,57
"547",571484,3,7,32,43
"548",571523,4,11,32,61
"549",571530,1,17,26,51
"550",571571,1,19,22,48
"551",571602,3,20,31,61
"552",571607,4,11,32,59
"553",571611,3,19,31,56
"554",571612,1,19,24,46
"555",571625,3,19,30,56
"556",571629,1,18,29,52
"557",571634,1,19,32,55
"558",571650,1,16,30,50
"559",571653,4,8,32,53
"560",571659,4,8,32,52
"561",571667,3,19,31,54
"562",571688,4,8,32,50
"563",571690,1,16,23,47
"564",571692,3,19,31,58
"565",571720,1,15,23,48
"566",571727,3,10,32,55
"567",571755,1,20,31,56
"568",571756,4,8,32,51
"569",571759,1,15,28,50
"570",571762,3,19,31,58
"571",571770,3,18,31,54
"572",571771,1,19,29,55
"573",571775,1,17,26,49
"574",571780,4,7,32,49
"575",571783,4,9,32,53
"576",571803,1,15,26,47
"577",571814,1,15,23,48
"578",571816,4,6,32,48
"579",571817,1,19,30,59
"580",571823,4,7,32,51
"581",571824,1,16,22,49
"582",571830,4,7,32,48
"583",571852,4,8,32,50
"584",571882,1,16,28,51
"585",571886,1,7,19,38
"586",571887,4,18,31,53
"587",571890,4,6,32,48
"588",571894,4,8,32,53
"589",571899,1,18,25,54
"590",571903,4,6,32,49
"591",571913,1,17,31,55
"592",571914,1,15,26,47
"593",571917,1,16,27,50
"594",571923,1,18,24,52
"595",571924,2,17,23,47
"596",571927,3,20,30,58
"597",571929,1,20,30,59
"598",571930,4,18,31,54
"599",571942,1,14,25,46
"600",571953,4,6,32,47
"601",571954,1,5,10,32
"602",571962,4,7,32,48
"603",571967,4,6,32,48
"604",571968,1,19,27,51
"605",571983,1,10,25,46
"606",571988,4,7,32,47
"607",571989,4,7,32,49
"608",572005,4,7,32,48
"609",572019,1,6,16,35
"610",572024,4,16,31,54
"611",572033,1,5,13,33
"612",572044,4,7,32,47
"613",572063,4,8,32,49
"614",572072,1,8,26,40
"615",572077,1,5,10,32
"616",572083,4,16,31,52
"617",572086,4,20,30,58
"618",572088,1,6,11,32
"619",572090,1,8,29,40
"620",572101,1,5,14,33
"621",572110,1,10,33,57
"622",572129,1,7,11,34
"623",572131,4,8,32,52
"624",572139,2,18,31,57
"625",572144,1,7,12,35
"626",572154,1,17,32,57
"627",572160,3,11,32,57
"628",572173,1,19,32,60
"629",572180,1,9,28,43
"630",572189,1,5,15,34
"631",572193,1,7,16,36
"632",572195,4,18,31,60
"633",572204,1,8,17,36
"634",572205,4,20,30,62
"635",572208,3,18,31,60
"636",572209,1,7,15,35
"637",572215,1,6,32,44
"638",572219,1,7,18,37
"639",572223,1,7,17,36
"640",572226,1,7,17,36
"641",572233,2,8,26,41
"642",572234,1,6,22,38
"643",572239,1,11,20,39
"644",572240,1,9,25,40
"645",572246,1,11,25,47
"646",572252,1,7,25,41
"647",572260,1,21,24,45
"648",572268,2,8,28,41
"649",572269,1,22,29,47
"650",572275,1,8,28,40
"651",572284,1,6,31,42
"652",572285,1,8,31,43
"653",572289,1,12,26,49
"654",572292,2,7,31,46
"655",572294,1,7,30,42
"656",572297,2,24,31,52
"657",572310,1,12,26,51
"658",572326,2,17,32,54
"659",572329,1,9,33,55
"660",572333,1,34,28,56
"661",572337,1,13,27,50
"662",572338,1,9,33,56
"663",572343,1,13,25,50
"664",572350,2,31,30,58
"665",572360,1,20,31,57
"666",572361,2,17,32,56
"667",572372,1,20,31,55
"668",572374,1,30,29,55
"669",572375,4,21,31,55
"670",572377,2,33,30,56
"671",572379,4,7,32,51
"672",572380,2,20,29,55
"673",572383,2,20,31,57
"674",572385,1,14,27,50
"675",572386,1,13,30,51
"676",572392,1,17,32,56
"677",572393,1,13,27,50
"678",572397,2,16,26,52
"679",572398,1,6,33,49
"680",572404,1,10,30,47
"681",572407,1,7,24,41
"682",572412,1,7,33,50
"683",572415,4,9,32,51
"684",572417,2,7,21,38
"685",572418,1,7,11,33
"686",572420,2,10,31,53
"687",572423,2,7,24,39
"688",572433,1,7,21,38
"689",572440,1,6,18,36
"690",572443,1,30,31,61
"691",572445,2,8,33,48
"692",572446,1,6,18,36
"693",572450,2,8,31,43
"694",572453,1,20,32,58
"695",572454,1,6,19,36
"696",572456,1,29,30,63
"697",572457,3,17,31,48
"698",572461,1,6,18,36
"699",572463,1,6,11,32
"700",572469,2,6,27,41
"701",572470,4,18,30,61
"702",572477,1,6,28,39
"703",572478,1,20,32,61
"704",572489,3,27,30,49
"705",572490,1,7,26,38
"706",572495,1,32,31,58
"707",572497,3,8,32,47
"708",572499,2,7,29,40
"709",572502,3,7,32,46
"710",572510,1,30,31,58
"711",572512,1,6,17,36
"712",572515,2,7,32,42
"713",572517,3,8,32,48
"714",572522,1,7,29,41
"715",572523,2,7,32,44
"716",572527,2,7,32,40
"717",572528,2,7,32,43
"718",572535,2,7,29,42
"719",572543,2,7,31,42
"720",572546,1,22,31,65
"721",572552,1,7,27,39
"722",572554,1,7,26,40
"723",572555,1,15,29,45
"724",572557,1,13,27,43
"725",572563,4,8,32,48
"726",572566,2,7,30,41
"727",572567,3,7,32,46
"728",572570,1,8,26,44
"729",572576,2,7,31,41
"730",572577,1,9,30,49
"731",572581,1,10,30,47
"732",572587,1,9,27,51
"733",572589,1,14,32,47
"734",572590,3,7,32,46
"735",572591,1,10,32,53
"736",572593,1,7,29,40
"737",572594,4,8,32,49
"738",572600,4,8,32,48
"739",572601,1,29,30,51
"740",572602,4,8,32,50
"741",572603,1,17,30,50
"742",572604,1,9,28,48
"743",572605,3,7,32,41
"744",572608,1,10,27,49
"745",572611,1,10,33,52
"746",572614,3,8,32,48
"747",572616,1,10,28,51
"748",572618,3,7,32,41
"749",572619,3,7,32,43
"750",572620,1,9,25,47
"751",572621,3,7,32,47
"752",572624,1,9,20,46
"753",572625,1,9,33,53
"754",572626,4,8,32,49
"755",572628,1,19,26,52
"756",572632,1,9,29,50
"757",572634,1,9,19,44
"758",572636,1,16,31,50
"759",572639,1,15,30,52
"760",572640,1,10,28,51
"761",572642,1,19,25,51
"762",572643,1,9,29,51
"763",572644,2,20,29,52
"764",572646,1,10,25,47
"765",572649,1,19,26,51
"766",572651,3,7,32,48
"767",572652,4,8,32,49
"768",572653,1,21,32,58
"769",572654,1,8,23,46
"770",572659,3,17,31,54
"771",572660,1,22,29,57
"772",572662,1,17,30,57
"773",572663,1,19,25,52
"774",572665,1,17,31,56
"775",572666,4,17,31,57
"776",572672,1,29,31,58
"777",572673,4,9,32,56
"778",572675,1,30,30,55
"779",572676,1,11,26,50
"780",572678,1,11,26,47
"781",572679,2,15,26,51
"782",572680,4,7,32,51
"783",572683,1,19,31,58
"784",572684,3,16,31,55
"785",572685,3,16,31,56
"786",572686,1,19,30,60
"787",572687,4,7,32,49
"788",572688,1,10,25,48
"789",572689,1,16,23,48
"790",572691,1,11,28,49
"791",572692,4,7,32,50
"792",572693,1,9,23,45
"793",572695,2,18,26,52
"794",572696,1,17,26,51
"795",572697,1,27,29,56
"796",572698,1,16,24,50
"797",572699,1,8,24,45
"798",572700,2,17,25,52
"799",572701,4,22,29,59
"800",572702,1,17,25,52
"801",572703,3,19,30,57
"802",572704,1,21,32,57
"803",572708,1,19,31,57
"804",572709,1,20,31,57
"805",572711,1,17,27,51
"806",572714,3,18,30,57
"807",572717,1,11,20,45
"808",572718,1,21,32,56
"809",572721,2,17,25,51
"810",572726,4,11,32,58
"811",572728,1,20,29,57
"812",572731,2,17,24,52
"813",572734,3,22,30,59
"814",572740,1,19,26,55
"815",572741,3,19,31,59
"816",572743,4,11,32,54
"817",572744,4,11,32,57
"818",572749,1,8,15,39
"819",572751,3,12,32,54
"820",572753,1,18,26,54
"821",572754,1,9,25,43
"822",572757,3,19,29,61
"823",572760,1,6,13,35
"824",572761,4,17,31,59
"825",572764,1,8,20,39
"826",572765,1,7,19,38
"827",572771,1,6,17,36
"828",572776,4,18,31,59
"829",572779,4,10,32,55
"830",572780,4,18,31,59
"831",572782,1,7,15,37
"832",572791,1,8,12,34
"833",572795,4,19,31,61
"834",572796,4,23,30,62
"835",572797,4,42,28,63
"836",572799,1,7,17,38
"837",572800,1,7,19,38
"838",572801,3,17,31,57
"839",572806,4,19,31,62
"840",572807,1,6,17,37
"841",572808,1,7,17,38
"842",572811,4,17,31,58
"843",572812,4,33,30,60
"844",572814,1,7,16,37
"845",572816,3,11,32,56
"846",572818,1,6,14,36
"847",572821,3,17,31,59
"848",572823,2,6,11,33
"849",572825,1,7,14,36
"850",572826,1,7,16,36
"851",572828,3,18,31,59
"852",572830,4,11,32,58
"853",572838,4,11,32,60
"854",572840,4,22,30,58
"855",572841,1,7,19,39
"856",572845,3,11,32,56
"857",572848,4,19,31,61
"858",572851,1,15,24,48
"859",572853,1,15,23,49
"860",572855,2,9,16,40
"861",572859,1,15,22,49
"862",572860,4,7,32,49
"863",572861,3,6,32,47
"864",572863,4,6,32,47
"865",572864,4,9,32,51
"866",572865,4,9,32,51
"867",572866,1,16,21,49
"868",572870,3,6,32,47
"869",572872,4,6,32,47
"870",572873,4,7,32,47
"871",572876,4,7,32,48
"872",572877,4,7,32,47
"873",572878,3,6,32,44
"874",572879,3,6,32,42
"875",572880,3,7,32,45
"876",572881,3,7,32,44
"877",572885,3,7,32,44
"878",572886,3,9,32,51
"879",573011,2,7,32,46
"880",573012,4,6,32,47
"881",573013,3,6,32,47
"882",573014,2,6,32,47
"883",573030,1,7,33,44
"884",573033,1,7,33,43
"885",573037,1,7,33,46
"886",573039,1,7,33,44
"887",573052,2,19,32,53
"888",573062,1,7,33,47
"889",573068,3,5,32,39
"890",573071,3,6,32,43
"891",573074,3,6,32,42
"892",573076,3,6,32,43
"893",573077,3,6,32,39
"894",573078,3,7,32,42
"895",573247,3,18,31,50
"896",573336,1,19,24,51
"897",573365,1,8,31,43
"898",573366,1,20,28,54
"899",573377,3,20,31,55
"900",573397,1,13,29,48
"901",573440,3,7,32,41
"902",573460,1,8,25,40
"903",573486,1,7,18,37
"904",573489,2,7,32,44
"905",573494,2,7,33,42
"906",573517,2,17,31,51
"907",573525,2,7,32,43
"908",573528,2,7,32,42
"909",573532,3,8,32,51
"910",573533,3,10,32,59
"911",573536,1,6,30,41
"912",573541,3,19,31,56
"913",573543,1,6,24,39
"914",573553,4,9,32,52
"915",573558,3,7,32,46
"916",573559,4,9,32,54
"917",573564,3,7,32,44
"918",573565,3,8,32,52
"919",573566,4,8,32,49
"920",573567,1,8,33,42
"921",573569,1,19,19,48
"922",573572,4,9,32,50
"923",573575,3,9,32,51
"924",573578,1,15,26,49
"925",573579,4,7,32,48
"926",573580,4,6,32,47
"927",573583,4,6,32,48
"928",573586,3,6,32,45
"929",573589,1,18,27,52
"930",573590,3,7,32,47
"931",573592,4,7,32,47
"932",573593,4,7,32,47
"933",573594,1,8,24,40
"934",573598,1,9,29,47
"935",573599,4,6,32,46
"936",573609,4,17,31,56
"937",573610,3,7,32,47
"938",573614,3,9,32,53
"939",573615,1,20,33,59
"940",573617,1,6,13,34
"941",573619,3,18,30,55
"942",573620,1,5,9,32
"943",573622,2,6,28,41
"944",573623,1,10,25,44
"945",573627,3,6,32,46
"946",573629,1,20,32,53
"947",573630,4,31,30,58
"948",573638,1,18,31,58
"949",573639,1,21,32,63
"950",573640,1,19,32,62
"951",573642,1,7,24,36
"952",573643,3,8,32,46
"953",573644,1,8,26,49
"954",573645,3,7,32,47
"955",573646,4,8,32,47
"956",573647,4,8,32,51
"957",573648,4,7,32,51
"958",573649,3,17,31,53
"959",573650,3,8,32,49
"960",573653,4,7,32,50
"961",573656,4,18,31,58
"962",573657,4,9,32,53
"963",573658,4,17,31,57
"964",573659,3,17,31,57
"965",573660,4,21,30,57
"966",573661,3,11,32,57
"967",573662,3,8,32,54
"968",573664,3,7,32,48
"969",573665,4,7,32,47
"970",573666,4,7,32,47
"971",573667,3,6,32,46
"972",574494,1,17,19,42
"973",574495,1,18,27,48
"974",574497,1,20,26,49
"975",574498,2,19,25,50
"976",574500,1,19,23,50
"977",574502,1,17,25,46
"978",574503,1,7,11,32
"979",574504,1,15,24,50
"980",574505,2,6,14,34
"981",574507,1,7,23,43
"982",574510,1,8,24,45
"983",574511,1,8,24,46
"984",574513,1,15,16,43
"985",574514,1,7,9,29
"986",574516,1,9,21,42
"987",574518,1,15,16,39
"988",574520,1,16,29,50
"989",574521,1,17,25,50
"990",574522,1,9,23,46
"991",574523,1,8,28,49
"992",574524,1,17,31,52
"993",574525,1,16,21,46
"994",574528,1,17,29,53
"995",574530,1,17,28,52
"996",574532,1,16,25,48
