date,group,cluster,reconstructed,observed
1984-01-01,1,35,9.13E-02,NA
1984-02-01,1,35,2.51E-01,NA
1984-03-01,1,35,2.24E-01,NA
1984-04-01,1,35,1.11E-01,NA
1984-05-01,1,35,-9.15E-02,NA
1984-06-01,1,35,-3.26E-01,NA
1984-07-01,1,35,-5.31E-01,NA
1984-08-01,1,35,-6.63E-01,NA
1984-09-01,1,35,-6.64E-01,NA
1984-10-01,1,35,-5.18E-01,NA
1984-11-01,1,35,-3.13E-01,NA
1984-12-01,1,35,-1.11E-01,NA
1985-01-01,1,35,5.30E-02,NA
1985-02-01,1,35,1.48E-01,NA
1985-03-01,1,35,1.52E-01,NA
1985-04-01,1,35,5.67E-02,NA
1985-05-01,1,35,-1.28E-01,NA
1985-06-01,1,35,-3.60E-01,NA
1985-07-01,1,35,-5.78E-01,NA
1985-08-01,1,35,-7.13E-01,-0.47197485
1985-09-01,1,35,-7.23E-01,-0.47197485
1985-10-01,1,35,-6.02E-01,-0.47197485
1985-11-01,1,35,-3.87E-01,-0.47197485
1985-12-01,1,35,-1.35E-01,NA
1986-01-01,1,35,9.11E-02,NA
1986-02-01,1,35,2.44E-01,NA
1986-03-01,1,35,2.94E-01,-0.47197485
1986-04-01,1,35,2.28E-01,-0.47197485
1986-05-01,1,35,5.40E-02,-0.47197485
1986-06-01,1,35,-1.91E-01,-0.47197485
1986-07-01,1,35,-4.47E-01,-0.47197485
1986-08-01,1,35,-6.31E-01,-0.47197485
1986-09-01,1,35,-6.71E-01,-0.47197485
1986-10-01,1,35,-5.40E-01,-0.47197485
1986-11-01,1,35,-2.74E-01,-0.07705265
1986-12-01,1,35,4.14E-02,NA
1987-01-01,1,35,3.17E-01,NA
1987-02-01,1,35,4.91E-01,NA
1987-03-01,1,35,5.33E-01,2.8425508
1987-04-01,1,35,4.32E-01,-0.47197485
1987-05-01,1,35,2.03E-01,-0.47197485
1987-06-01,1,35,-1.14E-01,-0.47197485
1987-07-01,1,35,-4.45E-01,-0.47197485
1987-08-01,1,35,-6.80E-01,NA
1987-09-01,1,35,-7.08E-01,-0.47197485
1987-10-01,1,35,-5.04E-01,-0.47197485
1987-11-01,1,35,-1.54E-01,NA
1987-12-01,1,35,2.20E-01,NA
1988-01-01,1,35,5.33E-01,NA
1988-02-01,1,35,7.28E-01,-0.44376612
1988-03-01,1,35,7.68E-01,-0.47197485
1988-04-01,1,35,6.46E-01,-0.47197485
1988-05-01,1,35,3.86E-01,-0.47197485
1988-06-01,1,35,3.19E-02,-0.47197485
1988-07-01,1,35,-3.40E-01,-0.47197485
1988-08-01,1,35,-6.07E-01,-0.47197485
1988-09-01,1,35,-6.47E-01,NA
1988-10-01,1,35,-4.36E-01,-0.47197485
1988-11-01,1,35,-5.97E-02,-0.47197485
1988-12-01,1,35,3.57E-01,NA
1989-01-01,1,35,7.11E-01,NA
1989-02-01,1,35,9.34E-01,NA
1989-03-01,1,35,9.87E-01,3.3785164
1989-04-01,1,35,8.67E-01,3.2515774
1989-05-01,1,35,6.01E-01,-0.47197485
1989-06-01,1,35,2.34E-01,NA
1989-07-01,1,35,-1.58E-01,NA
1989-08-01,1,35,-4.48E-01,NA
1989-09-01,1,35,-5.04E-01,-0.47197485
1989-10-01,1,35,-2.99E-01,-0.47197485
1989-11-01,1,35,8.39E-02,-0.45787048
1989-12-01,1,35,5.09E-01,NA
1990-01-01,1,35,8.65E-01,NA
1990-02-01,1,35,1.09E+00,NA
1990-03-01,1,35,1.13E+00,NA
1990-04-01,1,35,1.00E+00,NA
1990-05-01,1,35,7.22E-01,NA
1990-06-01,1,35,3.38E-01,1.8270365
1990-07-01,1,35,-7.24E-02,-0.47197485
1990-08-01,1,35,-3.74E-01,-0.47197485
1990-09-01,1,35,-4.34E-01,-0.47197485
1990-10-01,1,35,-2.30E-01,-0.47197485
1990-11-01,1,35,1.51E-01,-0.47197485
1990-12-01,1,35,5.67E-01,NA
1991-01-01,1,35,9.11E-01,NA
1991-02-01,1,35,1.12E+00,-0.35913995
1991-03-01,1,35,1.16E+00,NA
1991-04-01,1,35,1.01E+00,3.2515774
1991-05-01,1,35,7.03E-01,3.3785164
1991-06-01,1,35,2.88E-01,3.3785164
1991-07-01,1,35,-1.54E-01,-0.47197485
1991-08-01,1,35,-4.74E-01,-0.47197485
1991-09-01,1,35,-5.32E-01,-0.47197485
1991-10-01,1,35,-3.12E-01,-0.47197485
1991-11-01,1,35,8.85E-02,-0.47197485
1991-12-01,1,35,5.19E-01,NA
1992-01-01,1,35,8.70E-01,NA
1992-02-01,1,35,1.08E+00,NA
1992-03-01,1,35,1.11E+00,-0.47197485
1992-04-01,1,35,9.45E-01,-0.47197485
1992-05-01,1,35,6.11E-01,-0.47197485
1992-06-01,1,35,1.54E-01,NA
1992-07-01,1,35,-3.27E-01,-0.47197485
1992-08-01,1,35,-6.58E-01,-0.47197485
1992-09-01,1,35,-6.87E-01,-0.47197485
1992-10-01,1,35,-4.10E-01,-0.47197485
1992-11-01,1,35,4.12E-02,-0.47197485
1992-12-01,1,35,5.03E-01,NA
1993-01-01,1,35,8.68E-01,NA
1993-02-01,1,35,1.08E+00,NA
1993-03-01,1,35,1.12E+00,0.38839138
1993-04-01,1,35,9.61E-01,3.2515774
1993-05-01,1,35,6.35E-01,3.2233686
1993-06-01,1,35,1.90E-01,0.4166001
1993-07-01,1,35,-2.76E-01,NA
1993-08-01,1,35,-5.96E-01,-0.47197485
1993-09-01,1,35,-6.29E-01,-0.47197485
