date,cluster,lake,observed,reconstructed,cluster_new
1993-02-01,6,1,nan,1.19E+00,1
1993-03-01,6,1,nan,1.11E+00,1
1993-04-01,6,1,nan,8.36E-01,1
1993-05-01,6,1,nan,4.19E-01,1
1993-06-01,6,1,-0.25011012,-6.01E-02,1
1993-07-01,6,1,-0.48431727,-4.47E-01,1
1993-08-01,6,1,-0.48431727,-5.81E-01,1
1993-09-01,6,1,-0.43227124,-4.06E-01,1
1993-10-01,6,1,-0.25011012,-7.06E-03,1
1993-11-01,6,1,nan,4.57E-01,1
1993-12-01,6,1,nan,8.64E-01,1
1994-01-01,6,1,nan,1.14E+00,1
1994-02-01,6,1,nan,1.26E+00,1
1994-03-01,6,1,3.2629974,1.17E+00,1
1994-04-01,6,1,3.2629974,9.02E-01,1
1994-05-01,6,1,0.03614309,4.84E-01,1
1994-06-01,6,1,-0.43227124,-4.47E-03,1
1994-07-01,6,1,-0.48431727,-4.15E-01,1
1994-08-01,6,1,-0.48431727,-5.84E-01,1
1994-09-01,6,1,-0.48431727,-4.50E-01,1
1994-10-01,6,1,-0.48431727,-9.28E-02,1
1994-11-01,6,1,-0.43227124,3.39E-01,1
1994-12-01,6,1,nan,7.26E-01,1
1995-01-01,6,1,nan,9.99E-01,1
1995-02-01,6,1,nan,1.11E+00,1
1995-03-01,6,1,1.38934,1.05E+00,1
1995-04-01,6,1,-0.25011012,8.03E-01,1
1995-05-01,6,1,0.08818913,4.04E-01,1
1995-06-01,6,1,-0.01590295,-8.74E-02,1
1995-07-01,6,1,-0.48431727,-5.25E-01,1
1995-08-01,6,1,-0.48431727,-7.31E-01,1
1995-09-01,6,1,-0.48431727,-6.26E-01,1
1995-10-01,6,1,-0.48431727,-2.73E-01,1
1995-11-01,6,1,nan,1.74E-01,1
1995-12-01,6,1,nan,5.84E-01,1
1996-01-01,6,1,nan,8.80E-01,1
1996-02-01,6,1,nan,1.01E+00,1
1996-03-01,6,1,nan,9.57E-01,1
1996-04-01,6,1,nan,7.22E-01,1
1996-05-01,6,1,nan,3.27E-01,1
1996-06-01,6,1,nan,-1.74E-01,1
1996-07-01,6,1,-0.48431727,-6.27E-01,1
1996-08-01,6,1,-0.48431727,-8.36E-01,1
1996-09-01,6,1,-0.43227124,-7.07E-01,1
1996-10-01,6,1,-0.43227124,-3.13E-01,1
1996-11-01,6,1,nan,1.71E-01,1
1996-12-01,6,1,nan,6.03E-01,1
1997-01-01,6,1,nan,9.04E-01,1
1997-02-01,6,1,3.2629974,1.03E+00,1
1997-03-01,6,1,3.2629974,9.71E-01,1
1997-04-01,6,1,0.14023517,7.32E-01,1
1997-05-01,6,1,nan,3.33E-01,1
1997-06-01,6,1,-0.43227124,-1.66E-01,1
1997-07-01,6,1,-0.43227124,-6.08E-01,1
1997-08-01,6,1,-0.45829427,-8.00E-01,1
1997-09-01,6,1,nan,-6.62E-01,1
1997-10-01,6,1,nan,-2.78E-01,1
1997-11-01,6,1,nan,1.82E-01,1
1997-12-01,6,1,nan,5.86E-01,1
1998-01-01,6,1,nan,8.62E-01,1
1998-02-01,6,1,nan,9.68E-01,1
1998-03-01,6,1,nan,8.89E-01,1
1998-04-01,6,1,nan,6.34E-01,1
1998-05-01,6,1,nan,2.25E-01,1
1998-06-01,6,1,-0.25011012,-2.68E-01,1
1998-07-01,6,1,-0.25011012,-6.85E-01,1
1998-08-01,6,1,-0.48431727,-8.51E-01,1
1998-09-01,6,1,-0.48431727,-7.09E-01,1
1998-10-01,6,1,-0.40624824,-3.43E-01,1
1998-11-01,6,1,nan,8.92E-02,1
1998-12-01,6,1,nan,4.68E-01,1
1999-01-01,6,1,nan,7.24E-01,1
1999-02-01,6,1,nan,8.17E-01,1
1999-03-01,6,1,nan,7.29E-01,1
1999-04-01,6,1,nan,4.67E-01,1
1999-05-01,6,1,-0.25011012,5.37E-02,1
1999-06-01,6,1,-0.48431727,-4.28E-01,1
1999-07-01,6,1,-0.48431727,-8.17E-01,1
1999-08-01,6,1,-0.48431727,-9.57E-01,1
1999-09-01,6,1,-0.48431727,-8.00E-01,1
1999-10-01,6,1,-0.48431727,-4.31E-01,1
1999-11-01,6,1,-0.48431727,-6.08E-04,1
1999-12-01,6,1,nan,3.75E-01,1
2000-01-01,6,1,nan,6.30E-01,1
2000-02-01,6,1,2.76856,7.23E-01,1
2000-03-01,6,1,nan,6.37E-01,1
2000-04-01,6,1,-0.32817918,3.76E-01,1
2000-05-01,6,1,-0.40624824,-3.18E-02,1
2000-06-01,6,1,-0.45829427,-5.00E-01,1
2000-07-01,6,1,-0.48431727,-8.69E-01,1
2000-08-01,6,1,-0.48431727,-9.89E-01,1
2000-09-01,6,1,-0.48431727,-8.14E-01,1
2000-10-01,6,1,-0.48431727,-4.26E-01,1
2000-11-01,6,1,-0.48431727,2.14E-02,1
2000-12-01,6,1,nan,4.12E-01,1
2001-01-01,6,1,nan,6.79E-01,1
2001-02-01,6,1,nan,7.82E-01,1
2001-03-01,6,1,0.3484193,7.03E-01,1
2001-04-01,6,1,-0.48431727,4.48E-01,1
2001-05-01,6,1,-0.48431727,4.67E-02,1
2001-06-01,6,1,-0.48431727,-4.15E-01,1
2001-07-01,6,1,-0.48431727,-7.74E-01,1
2001-08-01,6,1,-0.48431727,-8.78E-01,1
2001-09-01,6,1,-0.48431727,-6.80E-01,1
2001-10-01,6,1,-0.43227124,-2.71E-01,1
2001-11-01,6,1,-0.35420218,1.92E-01,1
2001-12-01,6,1,nan,5.93E-01,1
2002-01-01,6,1,nan,8.68E-01,1
2002-02-01,6,1,2.3521917,9.74E-01,1
2002-03-01,6,1,2.1440074,8.96E-01,1
2002-04-01,6,1,nan,6.39E-01,1
2002-05-01,6,1,-0.48431727,2.34E-01,1
2002-06-01,6,1,-0.48431727,-2.35E-01,1
2002-07-01,6,1,-0.48431727,-6.03E-01,1
2002-08-01,6,1,-0.48431727,-7.13E-01,1
2002-09-01,6,1,-0.48431727,-5.21E-01,1
2002-10-01,6,1,-0.48431727,-1.19E-01,1
2002-11-01,6,1,-0.19806407,3.35E-01,1
2002-12-01,6,1,nan,7.26E-01,1
2003-01-01,6,1,nan,9.93E-01,1
2003-02-01,6,1,0.3223963,1.09E+00,1
2003-03-01,6,1,2.76856,1.01E+00,1
2003-04-01,6,1,-0.32817918,7.37E-01,1
2003-05-01,6,1,-0.48431727,3.16E-01,1
2003-06-01,6,1,-0.48431727,-1.71E-01,1
2003-07-01,6,1,-0.48431727,-5.56E-01,1
2003-08-01,6,1,-0.48431727,-6.81E-01,1
2003-09-01,6,1,-0.43227124,-5.06E-01,1
2003-10-01,6,1,-0.43227124,-1.21E-01,1
2003-11-01,6,1,0.29637328,3.17E-01,1
2003-12-01,6,1,nan,6.97E-01,1
2004-01-01,6,1,nan,9.57E-01,1
2004-02-01,6,1,1.9618464,1.05E+00,1
2004-03-01,6,1,2.820606,9.61E-01,1
2004-04-01,6,1,-0.25011012,6.82E-01,1
2004-05-01,6,1,-0.45829427,2.45E-01,1
2004-06-01,6,1,-0.48431727,-2.56E-01,1
2004-07-01,6,1,-0.48431727,-6.47E-01,1
2004-08-01,6,1,-0.48431727,-7.77E-01,1
2004-09-01,6,1,-0.48431727,-6.11E-01,1
2004-10-01,6,1,nan,-2.38E-01,1
2004-11-01,6,1,-0.19806407,1.90E-01,1
2004-12-01,6,1,nan,5.66E-01,1
2005-01-01,6,1,nan,8.26E-01,1
2005-02-01,6,1,2.794583,9.23E-01,1
2005-03-01,6,1,2.76856,8.31E-01,1
2005-04-01,6,1,-0.22408709,5.45E-01,1
2005-05-01,6,1,-0.43227124,9.64E-02,1
2005-06-01,6,1,-0.48431727,-4.11E-01,1
2005-07-01,6,1,-0.48431727,-7.96E-01,1
2005-08-01,6,1,-0.48431727,-9.16E-01,1
2005-09-01,6,1,-0.48431727,-7.43E-01,1
2005-10-01,6,1,-0.48431727,-3.67E-01,1
2005-11-01,6,1,-0.48431727,6.31E-02,1
